Gene,Coefficient(Slope),P-Value,Q-Value
TTLL10,-0.2068974520900649,0.0215761171496204,0.17971741897472657
TNFRSF18,-0.278812719134125,0.0334546865785584,0.23322943584605704
TNFRSF4,-0.3117313761896101,0.0138923420035808,0.140213958128603
SDF4,-0.0803673904024252,0.0009910066946444,0.028838506116219128
B3GALT6,0.0124092100761483,0.8571434769292177,0.9986379130657074
C1QTNF12,-0.0642189484560262,0.3675663014673741,0.7461765405959724
RP5-902P8.12,0.0053467204587002,0.945308383966697,1.0
UBE2J2,0.0378615967017704,0.4453028756586669,0.800266506990466
LINC01786,-0.2017791135695315,0.0206896273592696,0.17528152565304375
SCNN1D,-0.1983799596585423,0.0141829197303458,0.14195162119319016
ACAP3,-0.1613385603098612,0.0001897453537479,0.011055046266601237
MIR6726,-0.0220601951714536,0.2470785524568419,0.6365610687601163
PUSL1,-0.102413890059112,0.0132737352096218,0.1363129707606609
INTS11,-0.1354405454789257,5.2630514090353006e-05,0.005454992102088241
MIR6727,0.0040476790773166,0.8102200179490084,0.9799395444950322
RP5-890O3.9,-0.1694918066140246,0.0028953876735207,0.0548352841941991
CPTP,-0.0006284146365571,0.9920052487162282,1.0
TAS1R3,0.1031032303589687,0.0733628061147461,0.36131144021123407
DVL1,-0.1452085730874278,0.0002581788550198,0.013309254063494733
MIR6808,0.0049302293218425,0.6919115904524493,0.925022129892367
MXRA8,-0.187954869690258,0.0109274980196886,0.1205646669140744
AURKAIP1,0.0302905138649736,0.5686446567916285,0.857532461152834
NDUFB4P8,-0.0433786960171345,0.5345335848646018,0.837529047369248
CCNL2,-0.0252028557462459,0.3582933344791891,0.7378115740967316
RP4-758J18.2,0.0414995281132724,0.3867605499217761,0.7609757060956391
MRPL20,-0.0489714928519427,0.0929468173807172,0.4078365347099757
RP4-758J18.13,0.1573158300736966,0.113019296053348,0.4520109457981226
ANKRD65,-0.0779787949464323,0.4206163715488932,0.7880530220192593
RP4-758J18.7,0.0065925175716959,0.8447973037118712,0.9936051017803877
TMEM88B,-0.0063555859665459,0.9172172615182173,1.0
LINC01770,-0.0169324968308321,0.8049276952612188,0.9777003367671393
VWA1,-0.0566756793312053,0.5422815058206335,0.8422017002577458
ATAD3C,-0.1757391723006116,0.042239302764173,0.26732750549499884
ATAD3B,-0.2121425172295837,0.0017130518499403,0.040344662032761366
ATAD3A,-0.122902759778841,0.0237791288092299,0.18996970126713633
TMEM240,0.0959171456644879,0.3761236797820135,0.7523329975288716
SSU72,0.0292240505967779,0.4682009938282406,0.800266506990466
RP5-832C2.5,0.1718723085385808,0.0647019863250587,0.3364651207332449
RP11-345P4.11,-0.0352164962388009,0.4071186707557563,0.7770311671467416
FNDC10,-0.0902767801870517,0.1120685001298825,0.4499954351033013
